
========================================================================================================================
File Design Information:

Date:       14/01/22
Time:       20:06
Revision:   299b6bc05a68732ebb32fbe95b7202d15d39234a
Variant:    No variations
Units used: mil

Designator Layer        Footprint                Center-X(mil) Center-Y(mil) Rotation      PartNumber      
C1         BottomLayer  C0402                    -307.086      220.473       270           CL05B103KA5NNNC 
C2         BottomLayer  C0402                    -393.700      181.101       0             CL05B104KO5NNNC 
C3         BottomLayer  C0402                    -362.204      114.173       90            CL05B103KA5NNNC 
C4         BottomLayer  C0402                    -417.322      31.496        90            CL05B104KO5NNNC 
C5         BottomLayer  SMC_A                    275.591       -255.906      45            CA45-A016K106T  
C6         BottomLayer  C0402                    196.850       -330.709      315           CL05A474KA5NNNC 
C7         BottomLayer  C0402                    153.544       -362.204      315           CL05B104KO5NNNC 
C8         BottomLayer  C0402                    -157.481      -333.661      90            CL05A474KA5NNNC 
C9         BottomLayer  C0402                    -291.158      -321.799      180           CL05B104KO5NNNC 
L1         TopLayer     RGB_2121_NH-Z1921RGBA-SG 0.000         590.551       0             NH-Z1921RGBA-SG 
L2         TopLayer     RGB_2121_NH-Z1921RGBA-SG -152.846      570.429       15            NH-Z1921RGBA-SG 
L3         TopLayer     RGB_2121_NH-Z1921RGBA-SG -295.276      511.432       30            NH-Z1921RGBA-SG 
L4         TopLayer     RGB_2121_NH-Z1921RGBA-SG -417.583      417.583       45            NH-Z1921RGBA-SG 
L5         TopLayer     RGB_2121_NH-Z1921RGBA-SG -511.432      295.276       60            NH-Z1921RGBA-SG 
L6         TopLayer     RGB_2121_NH-Z1921RGBA-SG -570.429      152.846       75            NH-Z1921RGBA-SG 
L7         TopLayer     RGB_2121_NH-Z1921RGBA-SG -590.551      0.000         90            NH-Z1921RGBA-SG 
L8         TopLayer     RGB_2121_NH-Z1921RGBA-SG -570.429      -152.846      105           NH-Z1921RGBA-SG 
L9         TopLayer     RGB_2121_NH-Z1921RGBA-SG -511.433      -295.276      120           NH-Z1921RGBA-SG 
L10        TopLayer     RGB_2121_NH-Z1921RGBA-SG -417.583      -417.583      135           NH-Z1921RGBA-SG 
L11        TopLayer     RGB_2121_NH-Z1921RGBA-SG -295.276      -511.432      150           NH-Z1921RGBA-SG 
L12        TopLayer     RGB_2121_NH-Z1921RGBA-SG -152.846      -570.429      165           NH-Z1921RGBA-SG 
L13        TopLayer     RGB_2121_NH-Z1921RGBA-SG 0.000         -590.551      180           NH-Z1921RGBA-SG 
L14        TopLayer     RGB_2121_NH-Z1921RGBA-SG 152.846       -570.429      195           NH-Z1921RGBA-SG 
L15        TopLayer     RGB_2121_NH-Z1921RGBA-SG 295.276       -511.433      210           NH-Z1921RGBA-SG 
L16        TopLayer     RGB_2121_NH-Z1921RGBA-SG 417.583       -417.583      225           NH-Z1921RGBA-SG 
L17        TopLayer     RGB_2121_NH-Z1921RGBA-SG 511.432       -295.276      240           NH-Z1921RGBA-SG 
L18        TopLayer     RGB_2121_NH-Z1921RGBA-SG 570.429       -152.846      255           NH-Z1921RGBA-SG 
L19        TopLayer     RGB_2121_NH-Z1921RGBA-SG 590.551       0.000         270           NH-Z1921RGBA-SG 
